ComicID,Title,Issue_Num,Issue_Date,Issue_Year,Publisher,Country,ArtComments,KeyComments,Label_Category,POP_0_5,POP_1_0,POP_1_5,POP_1_8,POP_2_0,POP_2_5,POP_3_0,POP_3_5,POP_4_0,POP_4_5,POP_5_0,POP_5_5,POP_6_0,POP_6_5,POP_7_0,POP_7_5,POP_8_0,POP_8_5,POP_9_0,POP_9_2,POP_9_4,POP_9_6,POP_9_8,POP_9_9,POP_10_0,CG_POP_TOTAL
9015128,Dime Mystery Magazine,65,Apr-38,1938,Popular, ,Cover by Graves Gladney Francis James story ,  ,Universal,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
9015152,Dime Mystery Magazine,89,Apr-40,1940,Popular, ,Cover by Walter M. Baumhofer  ,  ,Universal,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
9015154,Dime Mystery Magazine,91,Jul-40,1940,Popular, ,Cover by Rafael DeSoto  ,  ,Universal,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
9015554,Doc Savage,1,Mar-33,1933,Street & Smith Pub., ,Cover by Walter M. Baumhofer Lester Dent story ,1st app. Doc Savage.  ,Universal,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
9015565,Doc Savage,12,Feb-34,1934,Street & Smith Pub., ,Cover by Walter M. Baumhofer Lester Dent story ,  ,Universal,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
9015567,Doc Savage,14,Apr-34,1934,Street & Smith Pub., ,Cover by Walter M. Baumhofer Lester Dent story ,  ,Universal,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
9015696,Doc Savage,143,Jan-45,1945,Street & Smith Pub., ,Cover by Modest Stein Lester Dent story ,Adolf Hitler cover.  ,Universal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
9015557,Doc Savage,4,Jun-33,1933,Street & Smith Pub., ,Cover by Walter M. Baumhofer Lester Dent story ,  ,Universal,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
9015595,Doc Savage,42,Aug-36,1936,Street & Smith Pub., ,Cover by Walter M. Baumhofer Lester Dent story ,  ,Universal,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
9015602,Doc Savage,49,Mar-37,1937,Street & Smith Pub., ,Cover by Robert G. Harris Lester Dent story ,  ,Universal,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
